Date,Open,High,Low,Close,Adj Close,Volume
2007-01-03,1418.030029,1429.420044,1407.859985,1416.599976,1416.599976,3429160000
2007-01-04,1416.599976,1421.839966,1408.430054,1418.339966,1418.339966,3004460000
2007-01-05,1418.339966,1418.339966,1405.750000,1409.709961,1409.709961,2919400000
2007-01-08,1409.260010,1414.979980,1403.969971,1412.839966,1412.839966,2763340000
2007-01-09,1412.839966,1415.609985,1405.420044,1412.109985,1412.109985,3038380000
2007-01-10,1408.699951,1415.989990,1405.319946,1414.849976,1414.849976,2764660000
2007-01-11,1414.839966,1427.119995,1414.839966,1423.819946,1423.819946,2857870000
2007-01-12,1423.819946,1431.229980,1422.579956,1430.729980,1430.729980,2686480000
2007-01-16,1430.729980,1433.930054,1428.619995,1431.900024,1431.900024,2599530000
2007-01-17,1431.770020,1435.270020,1428.569946,1430.619995,1430.619995,2690270000
2007-01-18,1430.589966,1432.959961,1424.209961,1426.369995,1426.369995,2822430000
2007-01-19,1426.349976,1431.569946,1425.189941,1430.500000,1430.500000,2777480000
2007-01-22,1430.469971,1431.390015,1420.400024,1422.949951,1422.949951,2540120000
2007-01-23,1422.949951,1431.329956,1421.660034,1427.989990,1427.989990,2975070000
2007-01-24,1427.959961,1440.140015,1427.959961,1440.130005,1440.130005,2783180000
2007-01-25,1440.119995,1440.689941,1422.339966,1423.900024,1423.900024,2994330000
2007-01-26,1423.900024,1427.270020,1416.959961,1422.180054,1422.180054,2626620000
2007-01-29,1422.030029,1426.939941,1418.459961,1420.619995,1420.619995,2730480000
2007-01-30,1420.609985,1428.819946,1420.609985,1428.819946,1428.819946,2706250000
2007-01-31,1428.650024,1441.609985,1424.780029,1438.239990,1438.239990,2976690000
2007-02-01,1437.900024,1446.640015,1437.900024,1445.939941,1445.939941,2914890000
2007-02-02,1445.939941,1449.329956,1444.489990,1448.390015,1448.390015,2569450000
2007-02-05,1448.329956,1449.380005,1443.849976,1446.989990,1446.989990,2439430000
2007-02-06,1446.979980,1450.189941,1443.400024,1448.000000,1448.000000,2608710000
2007-02-07,1447.410034,1452.989990,1446.439941,1450.020020,1450.020020,2618820000
2007-02-08,1449.989990,1450.449951,1442.810059,1448.310059,1448.310059,2816180000
2007-02-09,1448.250000,1452.449951,1433.439941,1438.060059,1438.060059,2951810000
2007-02-12,1438.000000,1439.109985,1431.439941,1433.369995,1433.369995,2395680000
2007-02-13,1433.219971,1444.410034,1433.219971,1444.260010,1444.260010,2652150000
2007-02-14,1443.910034,1457.650024,1443.910034,1455.300049,1455.300049,2699290000
2007-02-15,1455.150024,1457.969971,1453.189941,1456.810059,1456.810059,2490920000
2007-02-16,1456.770020,1456.770020,1451.569946,1455.540039,1455.540039,2399450000
2007-02-20,1455.530029,1460.530029,1449.199951,1459.680054,1459.680054,2337860000
2007-02-21,1459.599976,1459.599976,1452.020020,1457.630005,1457.630005,2606980000
2007-02-22,1457.290039,1461.569946,1450.510010,1456.380005,1456.380005,1950770000
2007-02-23,1456.219971,1456.219971,1448.359985,1451.189941,1451.189941,2579950000
2007-02-26,1451.040039,1456.949951,1445.479980,1449.369995,1449.369995,2822170000
2007-02-27,1449.250000,1449.250000,1389.420044,1399.040039,1399.040039,4065230000
2007-02-28,1398.640015,1415.890015,1396.650024,1406.819946,1406.819946,3925250000
2007-03-01,1406.800049,1409.459961,1380.869995,1403.170044,1403.170044,3874910000
2007-03-02,1403.160034,1403.400024,1386.869995,1387.170044,1387.170044,3312260000
2007-03-05,1387.109985,1391.859985,1373.969971,1374.119995,1374.119995,3480520000
2007-03-06,1374.060059,1397.900024,1374.060059,1395.410034,1395.410034,3358160000
